mfcc,labels
"[-1.0119267e+02  8.5449913e+01 -1.9701740e+01  2.0570631e+01
  9.9923220e+00  7.5984669e+00  1.0015643e-01  3.4032099e+00
  5.6307446e-02  1.5763918e+00 -1.4527315e+00 -1.2911736e+00
  2.1356745e+00]",country
"[-171.32309    137.33298      7.9547596   28.53364      2.6904233
   -0.5032653   -2.9567094   -1.1481972   -6.1525826   -2.397033
   -5.854901    -2.1742196   -5.340976 ]",country
"[-101.2983     120.435974    -0.4128371   49.03769    -15.870198
   19.87758    -13.09662     18.572926   -15.718034    15.2437315
   -5.916708     6.655968   -10.362753 ]",country
"[-207.24358    130.93799    -18.507269    33.30124     -3.9344985
   15.381376    -6.393797     2.9486027  -16.781153     7.0790553
   -8.595193     4.799718   -12.249361 ]",country
"[-104.32959    136.42427    -20.962719    52.845562     2.018694
   20.423431   -11.615844    17.667425   -15.739914    11.050942
  -11.3228245    3.6751578   -6.4964414]",country
"[-69.83627   124.2077    -32.482372   47.6898      1.4008857  22.600842
  -8.752852   21.427229  -15.660797   15.749121  -12.432543    9.573857
  -9.047071 ]",country
"[-139.56085    128.79108    -20.232744    49.427704    -2.1633635
   16.994394    -8.339966     9.827166   -20.141237     2.5050974
  -11.247482     3.7663162   -6.4156575]",country
"[-89.70955     36.28278     11.465646    37.4974       9.179834
   3.7314453    2.8276622    6.81722      1.4637538    0.09840073
   1.0316733    1.1726794   -3.5680354 ]",country
"[-130.48167     104.1242      -19.271059     34.147877      5.397541
   -2.171723     -0.72804546   -2.9078915    -5.4620852     4.0693655
   -4.4698324     3.5257306     2.1481225 ]",country
"[-20.81746     64.90752      6.7671003   26.357126    11.665423
  13.185629    -1.9791069    8.582197     0.4728952    7.441096
  -0.41490933   6.945586     3.6606066 ]",country
"[-183.98438     159.79948     -23.137691     43.02262      -9.470626
    8.825906     -1.65586       4.349173    -13.371262      0.83122224
  -13.96949       1.4447742    -7.3807516 ]",country
"[-194.23512    151.79347     -3.0450041   29.49471      9.111863
    5.9693475    3.7879229    3.7599015   -5.853435     1.5923067
   -3.765781     0.9401922    1.9712703]",country
"[-23.201923    71.15687      1.576013    24.438925    16.31995
   4.5767665   -3.8856642   17.993046    -3.3505054    2.435541
   2.9157152    0.81521153  -1.1092838 ]",country
"[-148.36998    126.86573    -19.571285    52.87677      8.581605
   17.882395    -8.099402    17.780605   -15.515441    13.506863
  -10.96457      9.469389    -1.9210476]",country
"[-124.79657    127.310844   -23.381498    47.375706     0.5761373
   16.01138     -9.977922    16.199665   -16.736052     6.788448
   -8.195151     3.2016318   -1.5992867]",country
"[-131.1577      102.98625     -11.529913     17.738117     16.948603
    4.4418244     1.2972013     3.4134758    -1.5013238     1.6068558
   -7.989871     -0.82989687   -8.8802805 ]",country
"[-200.6344      119.69184      -3.5907485    31.953747      9.979258
   15.293263      0.6465808     0.23592448   -4.4701905    -2.3123803
   -5.2613406    -2.4783907    -6.041272  ]",country
"[-1.41014435e+02  1.23921104e+02 -2.51037955e+00  2.79549580e+01
 -4.28237393e-03  1.21012557e+00 -1.10151730e+01 -1.36530638e+00
 -7.01975346e+00 -6.12955904e+00 -5.18385792e+00 -2.16256356e+00
 -4.59874153e+00]",country
"[-68.574776 101.349686 -16.899403  51.507862 -10.240496  20.057524
 -21.787132  15.519601 -18.788994  16.34265  -17.896719  12.110845
 -13.195823]",country
"[-122.42891    111.49043    -13.700005    53.85051     -2.6792428
   19.700176   -14.1241455   13.753135   -14.02773     14.631097
  -13.9932375    9.227839   -10.554295 ]",country
"[-277.10757    128.25293     42.425163    37.693504    12.766559
    9.593897    -5.988017    -7.539555    -8.03414     -4.942542
   -6.532016    -3.6276443   -7.2275624]",country
"[-186.33115    135.86916      5.9504013   45.837704    -5.776936
   22.777603   -12.992677    17.125881   -13.762872     9.738707
   -8.365436     6.6548295   -9.085711 ]",country
"[-82.9455   122.53113  -16.672253  40.01724  -15.014211  21.675642
 -18.251837  18.362713 -17.989063  16.989254 -16.042936   8.533768
  -8.709853]",country
"[-118.21476    152.95572    -46.51243     31.121635   -17.298687
    6.282562    -3.6962414   13.058594   -13.1422205   15.704863
  -13.088502     5.70854    -10.694908 ]",country
"[-99.33054  117.57579  -29.873354  40.84807  -15.25619   27.988764
 -11.962531  13.341765 -11.372492  10.539091  -8.746651   8.420694
  -6.837034]",country
"[-265.2709     138.86661      6.1286917   47.477863    -2.3875468
   21.05125      4.0907435   17.65029    -12.018802    15.490483
   -1.1288179    7.8953543    0.5013676]",country
"[-205.06755    140.98952     -8.963087    36.968815     6.427648
   14.8694515   -4.3169584   12.22562    -11.42915     11.855211
   -7.889388     9.911036    -2.3491375]",country
"[-50.79226    96.71365   -24.32533    66.08503   -14.70023    24.393627
 -21.02959    12.470781  -18.150887   13.2603655 -12.813222    9.8000765
 -11.347794 ]",country
"[-185.41428    118.49516     17.795778    48.869015    -2.1734655
   21.354282    -8.994565    20.53351    -11.412324     9.274986
   -5.478168     5.7618504   -2.9883938]",country
"[-84.68879  100.969574 -16.019012  51.744453 -17.08682   22.575502
 -20.29776   18.909782 -19.486067  15.338605 -17.739527   8.58395
 -15.003451]",country
"[-153.86862      83.66914      -8.426157     13.954346     13.531212
    3.7665932     3.009783      6.355866      2.077902      2.068881
    3.1684868    -0.48438072   -3.0256162 ]",country
"[-74.15763   107.61035   -21.188368   47.216305   -5.9845843  17.79499
 -20.406626   14.978622  -15.971437   15.732458  -14.664344   10.680037
 -10.130847 ]",country
"[-100.76679    106.98421    -27.158417    29.09983      5.039681
   -5.4239273    3.2426603   -5.179371    -5.118583    -0.8158501
   -3.8342147   -2.7052548   -6.645411 ]",country
"[-2.2905678e+02  1.8033003e+02  4.5372114e+00  2.4171104e+01
  1.0911434e+00  4.0153756e+00 -6.0064874e+00  1.9028653e+00
 -1.3129048e+01  1.5985971e-02 -1.3500771e+01  1.5909431e+00
 -1.3422154e+01]",country
"[-200.06026    109.140465    -5.5424633   48.140514     1.2196505
    4.592618    -9.150065    -1.4768001  -11.666416    -5.2047043
  -11.545386     4.9804325   -4.9844666]",country
"[-161.19606     74.76473     22.41922     46.01183      5.280713
   25.113438    -0.5761163   10.385749    -6.833754     5.054583
   -0.7702397    1.403467    -6.0123215]",country
"[-101.02087    111.61904    -13.149069    44.606804    -5.94553
   29.338867    -7.9442205   19.591711   -22.431093    17.265936
  -17.816374    11.403573   -12.458793 ]",country
"[-256.0997     163.07938    -22.86085     26.92573     15.294624
   -3.5060468    4.223812    -0.787576    -9.461129     1.7529935
   -4.4277167   -3.6453378   -4.2500973]",country
"[-111.62214     82.249146    13.051351    31.925335    23.684826
   -0.5329459   12.033109     3.6621604   -5.7393713    3.3419154
    1.4315192    0.7713819    0.5497473]",country
"[-204.6437     121.91709    -17.759083    46.32515     -1.8045663
   17.017439   -14.691548    14.671547   -19.392052    10.927665
  -13.47539      1.1953375   -6.2094746]",country
"[-146.03406    124.633896   -17.923777    49.24625     -0.16373
   22.78391     -7.1801314   16.748547    -9.71323     15.436437
   -7.632503    10.915412    -3.4583304]",country
"[-1.9905687e+02  6.1146400e+01  9.9773312e+00  2.3480610e+01
  1.0260272e+01  1.3764773e-03  8.0173874e+00  1.1231514e+00
 -4.8983784e+00  9.4877024e+00 -6.3569746e+00  3.8757420e+00
  1.6276603e+00]",country
"[-133.27147      78.98         -5.6516805    35.54217      -7.5470138
    7.928214      2.7289069     0.40225077   -1.144252     -1.1125528
   -7.844962     -1.1714913    -4.8177476 ]",country
"[-162.78079     119.890144     -2.9078407    20.50893      27.810158
    5.49017       6.0408688     1.1912665    -3.696575      0.35227883
    4.4168353    -0.41024777    2.4561374 ]",country
"[-3.0241064e+02  1.5011639e+02 -3.7138386e+00  2.6951960e+01
 -2.6141760e-01  1.3506062e+01  7.2338948e+00  4.2271061e+00
  1.7578514e+00  6.5712256e+00 -5.0072807e-01  7.9061255e+00
  1.3247037e+00]",country
"[-3.3964667e+02  9.7738594e+01 -9.7634964e+00  5.0972683e+01
  7.8148556e+00  1.1721101e+01  6.7392498e-01  2.4926815e+00
 -4.7740016e+00  2.0951901e-01 -5.9796581e+00 -2.9014666e+00
 -6.1582875e+00]",country
"[-60.91825  105.47955  -16.908377  40.71572  -15.026839  36.03335
 -12.812083  17.487257 -16.74124   11.76303  -10.137154  13.196802
 -12.209422]",country
"[-169.22511    132.78679    -13.487546    31.186213     6.340469
   -3.7556648   -2.0590014   -3.6253169   -4.56124      1.2809825
   -6.97704     -7.2528353   -1.3950258]",country
"[-250.85716    163.07423     -3.874575    30.153006     5.589061
    7.5009394    4.0263863   -2.1164129   -5.477513    -1.062121
   -9.981778     1.8189913   -8.753831 ]",country
"[-143.05974   121.874374  -13.355456   47.767853  -12.669741   23.367556
  -11.009172   18.85914   -13.707747   15.945983  -11.358796   10.289537
   -6.009821]",country
"[-126.90665    103.49357    -31.897821    58.728836    -1.9615221
   -3.1359189   -2.942937     0.3602378   -3.034348    -0.8273261
    5.5868716  -10.137715     0.7289897]",country
"[-61.222664   71.25143   -17.037924   17.114265    5.0512624  -4.2119603
  -1.6805955   1.1818885  -0.8543821   4.967768   -1.7029345   4.841895
  -0.1602425]",country
"[-167.00668    132.4709     -17.308983    46.921646    -3.6383252
   20.937962    -8.8259325    8.533768   -15.142039     8.106652
  -16.94435      6.661936   -10.934709 ]",country
"[-165.54424    117.90447    -33.605473    42.598927    -1.3801006
    3.827964     7.166964    -7.171045    -1.6472125    0.8621202
  -12.5100975    2.8849208  -12.365843 ]",country
"[-209.33365    167.1017     -20.841473    36.802998    10.272971
    3.9958642   -5.6698804   -4.625789    -6.24442     -4.1741776
   -6.6804767   -3.2626216   -7.9688377]",country
"[-193.73314    125.576965   -20.945107    46.33686     -2.6908514
   12.840516    -6.6026425   10.73607    -10.91958      6.1234164
   -9.4414       5.1659884   -3.6614418]",country
"[-217.11801    136.18945    -10.36323     51.37767      2.598726
   15.119397    -0.6796686   12.28111     -6.2290382    7.803085
   -5.412614     3.6122782   -2.7987616]",country
"[-116.19743    111.754       -5.2453566   33.98964    -12.460976
    4.2414293  -14.408441     8.494256    -8.198441    -1.3370373
  -12.551117    -5.0011096   -2.1393461]",country
"[-148.5371     141.28717    -15.904905    44.664753     0.9870617
   13.670254   -13.241115    12.6545315  -11.708021    12.162337
  -10.482789     9.917888    -5.0692515]",country
"[-2.13623001e+02  1.17207268e+02 -2.18716335e+01  4.56571732e+01
 -1.02800035e+01  5.05799007e+00 -1.19140024e+01  5.57486820e+00
 -1.77996006e+01  1.87259629e-01 -1.41705475e+01 -1.15721786e+00
 -1.03049583e+01]",country
"[-120.41707     95.35442     -6.02527     25.163818    20.953634
   -7.1270046    8.549671     2.433669   -14.656025     9.28693
   -2.3609252   -3.1556685    0.6114374]",country
"[-328.71906    167.03047     13.017286    28.825632    11.25177
   14.431292    11.699712     7.8014154  -11.720729     2.38008
   -8.350321    -3.8527913   -6.739853 ]",country
"[-79.81995   109.9367    -17.13555    47.214085  -11.933717   33.32855
 -11.712043   23.636423  -13.6773205  18.445545   -6.9493895  13.0382805
 -11.589943 ]",rock
"[-66.28536     66.77525     25.18438     26.29693      5.29162
  10.455606     2.4704697    0.75241023  -0.37136135   1.7261295
   3.2138       5.0352135   -1.9417019 ]",rock
"[-103.96426   101.90469   -10.340273   43.67058   -11.510563   26.94337
   -9.995867   25.0187    -14.213517   19.713217  -10.531306   12.673635
  -12.690149]",rock
"[-1.4240489e+02  1.1613788e+02  2.2472296e+00  3.1061201e+01
  6.1861997e+00  1.2031545e-01  3.1996894e-01  7.7913918e+00
  3.2471306e+00 -3.0152287e+00  1.7092861e+00  7.3611957e-01
  1.4306967e-01]",rock
"[-52.480682  99.70796  -47.386406  47.01759  -21.017344  22.883759
 -18.278618  13.886501 -23.446274  13.51214  -18.663303   5.705186
 -12.890456]",rock
"[-89.01616    86.21833   -24.412222   47.093178  -33.65718    29.464834
 -19.750496   21.635778  -16.746689    6.538771  -13.391208    7.4855866
 -12.85139  ]",rock
"[-172.66568     142.76349     -55.773094     79.31552      -1.8741938
    4.793415      0.2451239   -11.501139     -0.26719546   -9.363407
   -7.680029    -11.2667055    -5.6835923 ]",rock
"[-1.4495711e+02  1.1846496e+02  2.0525068e+01  2.8564392e+01
  2.3535557e+00  1.0069560e+01  1.1917600e+01  4.8517795e+00
 -8.4927328e-02  3.2985027e+00  3.4143987e+00  3.6505976e+00
  5.3643227e+00]",rock
"[-83.05496    91.50623   -13.687614   16.13486    10.328306    5.5332947
  -9.451849   -6.618414   -3.033612    4.933539    2.640077    1.0502369
  -3.671963 ]",rock
"[-58.981987 106.57721  -31.803864  47.910946 -17.425423  27.75524
 -14.010047  22.419035 -20.549541  19.562534 -14.581267  10.176432
 -10.946365]",rock
"[-123.34534      74.88168     -17.058035     31.609985      2.5446815
   17.32831      -3.8152325     9.7234535    -7.237524     11.2586565
    0.38198876    3.4685218     1.663686  ]",rock
"[-120.445526   117.5898     -27.635338    42.838066    -6.757944
   21.642136   -12.10304     17.95223    -10.473286    12.275668
   -6.5690436   13.523022    -2.420074 ]",rock
"[-132.39337    124.67918     -9.69277     46.452026    -6.3060913
   30.534199   -11.145722    20.404236   -11.221901     9.368879
   -5.829724     7.8187475   -8.726418 ]",rock
"[-70.11194   94.16672  -50.33251   46.95689  -16.10815   19.98747
 -23.955923  16.344193 -22.179577  14.427519 -20.087427  12.139044
 -14.773107]",rock
"[-131.4277      67.74452     32.89004     34.585876    -3.2927597
   21.882212    -5.809261    10.232336    -7.0489717    2.2989485
   -4.3683047   -3.317443    -6.2809277]",rock
"[-302.8243      116.21838      44.6891       25.962639     18.715103
    7.5668535     7.3339343     4.0336523    -4.1819897     0.8796671
    0.95483494    2.8209012     1.4063514 ]",rock
"[-83.36812  103.90498  -13.954149  56.912594 -14.43371   32.197018
 -14.136274  19.167461  -9.342845  13.166685 -11.730691   8.401819
  -9.400614]",rock
"[-15.672693 100.08496  -37.597607  45.951027 -20.771992  25.640266
 -18.628998  26.507004 -20.164482  21.119764 -13.650189  10.966076
 -15.529785]",rock
"[-212.2839      65.78227     45.207645    19.728804    11.811091
    8.058759     4.425894     4.215401    -2.3198674   -2.2011733
   -1.6351123   -4.6608105   -3.7225633]",rock
"[-95.375534  112.45124    -2.0774405  47.046688  -10.369908   29.785522
 -15.113547   20.186108  -12.673779   16.497211   -7.8592286  11.876695
 -11.1869955]",rock
"[-5.0849358e+01  8.6401657e+01 -1.4424250e+01  1.2829986e+01
  2.1691839e+01  4.2353654e+00  1.7406832e+00  3.7037308e+00
  4.6833959e+00 -1.8644677e+00 -1.1955880e+00 -1.7734867e-02
 -4.1270938e+00]",rock
"[-160.15704    88.74145   -35.476883   47.494305  -12.60362    17.301561
  -19.144144   14.595069  -20.387825   11.093687  -11.144935    7.69911
   -9.863814]",rock
"[-119.03785    128.89801    -17.83216     29.174347     2.7172754
    7.998562    -7.062791     3.8721447   -1.5170445   -3.9864912
   -7.0405607   -2.8676345   -4.180409 ]",rock
"[-219.1163       94.37081      42.78751      16.115028      9.503607
   12.890873      7.7313557     2.3898096    -1.0204222    -1.953544
   -1.9855666     3.1467826    -0.88252664]",rock
"[-174.93277    90.93342   -18.715298   41.614548   -8.878751    9.084968
  -12.457276   13.13021    -9.69108     4.335098  -13.485934    6.740899
  -10.384655]",rock
"[-34.634476  106.50068   -41.059685   33.668095  -27.229921   21.403963
 -21.319082   14.005236  -27.781681   16.053364  -18.818726    5.6487145
 -14.2938385]",rock
"[-108.94804    114.95368     -5.2112894   46.19136     -9.136667
   20.517895   -17.024096    24.221981    -8.050692    13.43937
  -18.37755      8.584026   -11.401218 ]",rock
"[-124.00335    109.49398      5.8743453   32.895947    10.985755
   11.695206    12.678273    12.968339     1.6449658    4.500419
    9.672361     3.0521114    3.5316381]",rock
"[-203.34494     85.4117     -11.576987    54.754364   -11.617434
   20.56847    -27.760782    18.873287   -31.642633    10.700183
  -11.927794     4.1321464   -3.9985468]",rock
"[-127.970406   134.44084      1.0205101   54.43924     -0.4544707
   35.814583   -10.856743    16.386305   -10.0327215    6.592466
   -6.6975994   11.041861    -8.380609 ]",rock
"[ -0.42657748  72.35004    -13.061866    23.915255    10.229572
  10.317129    -5.016699    14.344585    -0.6939212    9.888121
   0.72519857   5.222892    -4.0965514 ]",rock
"[-62.36485   153.79044   -55.13121    28.010105   -6.850295   17.46384
 -22.614672   18.14102   -12.584327    4.5021577  -8.390483    7.216679
  -2.5232487]",rock
"[-142.00829      96.975395     23.25415      10.455744      6.293647
    4.9634185     1.0708207     1.1035849    -4.8490777     0.87220246
   -3.44915      -2.0109098    -5.9014354 ]",rock
"[-35.399956    73.69067    -20.220224    17.177567    14.948895
  10.214969     7.60081      1.5895824    4.1754875    0.74550146
  -0.3865786   -1.3119748   -2.0403228 ]",rock
"[-169.68312   119.105644    7.161805   53.429665    4.125313   23.133099
   -5.721344   24.986755   -9.328979   13.474868  -14.278746    5.959376
  -13.598075]",rock
"[-156.54553    130.7242      -1.4807918   36.234592     0.3509126
   31.955034    -0.6218728   20.156782   -11.339355    13.855699
   -3.7898722   11.537828    -3.2142532]",rock
"[-74.30769  100.11084  -47.357517  49.609303 -18.405361  24.60919
 -15.910987  23.892094 -22.828266  23.324926 -16.943434  14.924825
 -11.49566 ]",rock
"[-113.657845    94.94122     -4.1284766   51.786396   -13.776981
   34.347263   -17.60313     22.537716   -12.411016    17.204842
   -9.231342     9.977349   -13.473844 ]",rock
"[-28.048374    65.66149     -7.321227    33.75632     11.126422
  14.604361     2.0925803   10.009483    -0.22511593  10.134864
  -2.8547633    3.0963173   -1.6673214 ]",rock
"[-95.44648   78.33685  -26.221182  44.241337 -22.469748  29.748888
 -21.57327   23.954361 -16.57705   20.47198  -19.63077   13.887503
 -12.625713]",rock
"[-142.41621   116.20546   -32.160263   49.11151    -8.389906   22.885155
  -18.317211   20.110556  -22.102663   10.792424  -12.998068   14.083412
  -16.392958]",rock
"[-117.97405    84.05841   -50.26788    46.049637  -17.698416   20.855793
  -21.641119   16.67161   -12.952743   12.837912  -13.080166   11.31062
  -12.596915]",rock
"[-65.91231     61.28031     -1.9368678   35.309376     9.313
   7.5558777    3.409661     2.977946     4.6069074    2.9099398
   1.7725732   -0.39182526  -5.758149  ]",rock
"[-71.13559    79.458374  -20.803537   30.648138    5.5313945   3.7041204
   4.7037277   7.2695193  -5.486207    2.504747    0.8459367  -0.5797619
  -1.8930234]",rock
"[-84.1865   102.343544 -41.35082   47.032593 -16.94698   26.23382
 -18.950123  18.797081 -21.695303  11.054099 -19.2392     5.234156
 -16.756317]",rock
"[-156.29813    130.7896     -25.229616    43.48547    -12.138993
   25.392204    -7.9401684   17.616287    -8.628423     9.566105
   -8.367282     5.763708    -7.0483007]",rock
"[-204.6047     106.97547    -10.207929    45.585976     3.0347538
   24.002531    -7.5044093   20.065851    -5.168004     8.738427
  -10.105714     4.3647547   -6.9585667]",rock
"[-7.8688965  59.537727    3.64771    28.984354    4.1384044  10.26854
  2.5587142   7.6040683  -1.399824    2.9641616   4.0499907  -0.75281394
  1.0675514 ]",rock
"[-15.92807     67.15309    -20.1219      15.576831     4.8012633
  10.825859     5.9594      11.79642     -0.39681533   5.6550355
   0.11372392   1.0979242   -1.741559  ]",rock
"[-123.67157     94.75338     -9.5527525   53.26699    -13.762559
   17.746737   -19.215258    25.295883   -18.705511    15.396704
  -12.512173     9.378814   -11.606869 ]",rock
"[-156.28606     75.62815    -16.517866    16.340904     5.801708
    6.009819    -4.145812    -3.7635734   -6.1687293   -8.928002
   -4.101073    -2.207017    -4.6508574]",rock
"[-61.69562  103.5662   -16.91641   49.247673 -14.815669  31.691504
 -17.215197  24.615047 -14.486075  18.019432 -11.67271   11.470351
  -9.824016]",rock
"[-94.26873   91.89087  -17.601385  45.527336 -15.701893  32.635612
 -18.013712  21.570967 -15.723526  16.806913 -18.290829  13.340856
 -15.457929]",rock
"[-90.240295   80.06858   -46.36335    56.045547   -8.092648   27.477394
 -17.326694   22.967056  -17.591234   18.405153  -17.44015     7.6492333
 -19.298676 ]",rock
"[-14.946681  138.44057   -41.902412   22.075436  -18.676533   32.004406
 -20.370274   15.703648  -17.348824   14.874468   -8.903126   12.260918
  -5.8288655]",rock
"[-92.63433   101.83765   -33.491867   48.725113   12.398136   20.813831
   8.697564    9.275422    2.7734897   5.2337246  -9.328545   -3.4863636
  -4.3603806]",rock
"[-58.31212    62.513275  -12.654888   31.943604    8.115569    2.2606413
   3.90708     1.4533548  -2.7132814   1.1064515  -0.459575   -2.3795288
   1.2424837]",rock
"[-6.2134621e+01  7.5873795e+01 -2.6729330e+01  1.8281229e+01
  2.4590399e+00  5.8335547e+00  1.1579477e+01  1.0207033e-02
  8.6932430e+00  5.5156765e+00 -2.4614888e-01  2.3988750e+00
 -1.7415357e+00]",rock
